,SHIP_NAME,WATER_BODY,CSN,STN_DATE,CODE,DEPTH_FROM,DETECTION,FLAG,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
296798,CCGS LIMNOS,LAKE SUPERIOR,28,2005-06-05 17:53:00,100,0.0,0.0,,10.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.78167,-92.05444
15104,CCGS LIMNOS,LAKE SUPERIOR,21,2001-08-21 02:40:00,100,0.0,,,19.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.78167,-92.05417
199403,CCGS LIMNOS,LAKE SUPERIOR,19,2001-05-13 08:07:00,100,0.0,,,7.9,TEMP,TEMPERATURE (OF WATER),DEG C,46.78167,-92.05361
21484,CCGS LIMNOS,LAKE SUPERIOR,27,2008-09-21 15:40:00,100,0.0,0.0,,12.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.78194,-92.05361
164113,CCGS LIMNOS,LAKE SUPERIOR,36,2016-08-08 19:20:00,100,0.0,,,21.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.78194,-92.05361
287993,CCGS LIMNOS,LAKE SUPERIOR,25,2003-05-19 17:46:00,100,0.0,,,5.1,TEMP,TEMPERATURE (OF WATER),DEG C,46.78194,-92.05306
139,CCGS LIMNOS,LAKE SUPERIOR,5,2016-08-04 13:53:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.81056,-85.43167
317466,CCGS LIMNOS,LAKE SUPERIOR,29,2005-06-05 20:53:00,100,0.0,0.0,,6.2,TEMP,TEMPERATURE (OF WATER),DEG C,46.81556,-91.885
249982,CCGS LIMNOS,LAKE SUPERIOR,29,2013-05-18 21:01:00,100,0.0,0.0,,3.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.81583,-91.88528
3369,CCGS LIMNOS,LAKE SUPERIOR,29,2008-05-10 15:51:00,100,0.0,0.0,,2.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.81611,-91.88556
38979,CCGS LIMNOS,LAKE SUPERIOR,30,2019-09-11 00:00:00,100,0.0,,,9.75,TEMP,TEMPERATURE (OF WATER),DEG C,46.81611,-91.88528
132263,CCGS LIMNOS,LAKE SUPERIOR,37,2016-08-08 21:31:00,100,0.0,,,21.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.81611,-91.885
315965,CCGS LIMNOS,LAKE SUPERIOR,28,2008-09-21 16:47:00,100,0.0,0.0,,13.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.81639,-91.88556
4856,CCGS LIMNOS,LAKE SUPERIOR,22,2011-05-17 04:43:00,100,0.0,0.0,,2.9,TEMP,TEMPERATURE (OF WATER),DEG C,46.81667,-91.885
212361,CCGS LIMNOS,LAKE SUPERIOR,21,2005-08-14 22:12:00,100,0.0,0.0,,18.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.81667,-91.88444
220247,CCGS LIMNOS,LAKE SUPERIOR,78,2016-08-16 11:37:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.81667,-87.00028
278453,CCGS LIMNOS,LAKE SUPERIOR,18,2011-07-31 06:59:00,100,0.0,0.0,,17.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.81694,-91.88444
18483,CCGS LIMNOS,LAKE SUPERIOR,22,2001-08-21 03:55:00,100,0.0,,,19.700001,TEMP,TEMPERATURE (OF WATER),DEG C,46.81806,-91.88444
135945,CCGS LIMNOS,LAKE SUPERIOR,9,2005-10-01 21:29:00,100,0.0,0.0,,14.9,TEMP,TEMPERATURE (OF WATER),DEG C,46.81806,-91.88444
210446,CCGS LIMNOS,LAKE SUPERIOR,38,2019-05-27 00:00:00,100,0.0,,,2.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.825,-84.76667
193016,CCGS LIMNOS,LAKE SUPERIOR,24,2005-08-15 16:56:00,100,0.0,0.0,,19.4,TEMP,TEMPERATURE (OF WATER),DEG C,46.84139,-90.18444
133793,CCGS LIMNOS,LAKE SUPERIOR,27,2011-05-18 20:10:00,100,0.0,0.0,,2.7,TEMP,TEMPERATURE (OF WATER),DEG C,46.84444,-90.18944
102770,CCGS LIMNOS,LAKE SUPERIOR,34,2019-09-12 00:00:00,100,0.0,,,14.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.84472,-90.18972
12738,CCGS LIMNOS,LAKE SUPERIOR,26,2005-06-04 23:54:00,100,0.0,0.0,,3.3,TEMP,TEMPERATURE (OF WATER),DEG C,46.84472,-90.18944
266189,CCGS LIMNOS,LAKE SUPERIOR,31,2016-08-08 03:36:00,100,0.0,,,20.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.84472,-90.18889
253665,CCGS LIMNOS,LAKE SUPERIOR,22,2013-05-18 03:05:00,100,0.0,0.0,,2.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.84472,-90.18806
49696,CCGS LIMNOS,LAKE SUPERIOR,32,2008-09-22 05:04:00,100,0.0,0.0,,15.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.845,-90.18861
152807,CCGS LIMNOS,LAKE SUPERIOR,13,2011-07-30 12:51:00,100,0.0,0.0,,16.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.845,-90.18833
292685,CCGS LIMNOS,LAKE SUPERIOR,34,2008-05-11 04:24:00,100,0.0,0.0,,2.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.84528,-90.18917
110406,CCGS LIMNOS,LAKE SUPERIOR,5,2005-09-30 12:10:00,100,0.0,0.0,,12.7,TEMP,TEMPERATURE (OF WATER),DEG C,46.84556,-90.18583
218888,CCGS LIMNOS,LAKE SUPERIOR,28,2003-05-20 16:51:00,100,0.0,,,2.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.84694,-90.18944
249942,CCGS LIMNOS,LAKE SUPERIOR,26,2005-08-16 23:11:00,100,0.0,0.0,,18.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.85306,-86.56528
131984,CCGS LIMNOS,LAKE SUPERIOR,6,2005-05-28 03:50:00,100,0.0,0.0,,2.9,TEMP,TEMPERATURE (OF WATER),DEG C,46.85417,-86.56778
107126,CCGS LIMNOS,LAKE SUPERIOR,40,2011-05-21 13:44:00,100,0.0,0.0,,2.7,TEMP,TEMPERATURE (OF WATER),DEG C,46.85667,-86.58361
77524,CCGS LIMNOS,LAKE SUPERIOR,42,2003-05-22 09:53:00,100,0.0,,,2.3,TEMP,TEMPERATURE (OF WATER),DEG C,46.85667,-86.56778
153270,CCGS LIMNOS,LAKE SUPERIOR,15,2005-10-03 14:56:00,100,0.0,0.0,,15.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.85917,-86.56611
179694,CCGS LIMNOS,LAKE SUPERIOR,29,2016-08-07 23:09:00,100,0.0,,,22.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.87333,-89.77222
235596,CCGS LIMNOS,LAKE SUPERIOR,37,2019-05-27 00:00:00,100,0.0,,,2.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.89361,-84.66806
60440,CCGS LIMNOS,LAKE SUPERIOR,7,2016-08-04 19:00:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.905,-86.08194
118120,CCGS LIMNOS,LAKE SUPERIOR,30,2013-05-18 22:20:00,100,0.0,0.0,,1.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.90583,-91.82056
80129,CCGS LIMNOS,LAKE SUPERIOR,38,2016-08-11 14:03:00,100,0.0,,,19.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.90611,-91.82111
223663,CCGS LIMNOS,LAKE SUPERIOR,28,2019-09-11 00:00:00,100,0.0,,,9.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.90639,-91.82
163030,CCGS LIMNOS,LAKE SUPERIOR,21,2011-05-17 03:26:00,100,0.0,0.0,,2.1,TEMP,TEMPERATURE (OF WATER),DEG C,46.90667,-91.82028
